timestamp,congestion_level,weather_conditions,road_type,vehicle_type,temperature,humidity,wind_speed,precipitation,population_density
8/1/2022 0:00,0.843396448,Rainy,City Street,Car,26.3756116,46.51779404,8.230187589,7.78650183,3459.059905
8/1/2022 0:29,0.858038646,Rainy,Highway,Bus,23.27705743,45.03310217,7.932627118,7.852163426,2472.346181
8/1/2022 0:58,0.564524229,Rainy,Highway,Bicycle,33.67193321,56.90261897,10.25903327,0.078434756,9963.200425
8/1/2022 1:00,0.604874162,Cloudy,Highway,Car,17.250465,77.8536054,17.10953988,9.755478249,9890.142818
8/1/2022 1:18,0.284802065,Clear,Highway,Bicycle,27.07989059,32.90590572,0.410464164,1.79469141,3806.339239
8/1/2022 1:36,0.763946522,Clear,Highway,Car,31.24655658,69.27728523,10.22486307,1.145402303,3982.457688
8/1/2022 1:54,0.883932215,Cloudy,Highway,Bicycle,27.92761596,66.29628878,12.37071982,5.986854917,4493.222862
8/1/2022 2:00,0.388445536,Clear,Residential,Bus,30.46285708,68.56205854,4.987651151,6.590858482,1916.377697
8/1/2022 2:28,0.866920416,Cloudy,City Street,Bus,21.95627957,25.86122225,17.029648,3.592074414,9986.325199
8/1/2022 2:56,0.387814474,Rainy,Residential,Bicycle,21.42114512,33.63377129,5.212392669,5.430105435,1797.05067
8/1/2022 3:00,0.773313697,Cloudy,City Street,Car,29.78614117,49.66161094,6.567142585,4.645469067,5141.137277
8/1/2022 3:28,0.892961834,Clear,Highway,Car,16.66928519,88.33272591,5.839132097,3.219499233,2758.860817
8/1/2022 3:56,0.314042,Clear,Highway,Bicycle,24.29153314,54.84286035,11.2231594,0.481507249,7936.059759
8/1/2022 4:00,0.341537696,Rainy,Residential,Bus,33.3059411,53.25599775,1.711329121,7.823753263,2652.156485
8/1/2022 4:12,0.37537073,Rainy,City Street,Bus,15.15868571,46.41675101,16.79284516,1.052084077,757.6628218
8/1/2022 4:24,0.36236748,Rainy,Highway,Car,33.63838514,80.12837052,0.245288341,9.32891085,8444.362285
8/1/2022 4:36,0.178295877,Cloudy,City Street,Car,25.46370858,36.61761974,0.732496172,9.204501918,7599.85089
8/1/2022 4:48,0.889492675,Cloudy,Highway,Bicycle,27.27623268,49.91224286,13.50861772,6.428358236,5549.804709
8/1/2022 5:00,0.143256492,Cloudy,Highway,Car,15.73054364,36.79762426,6.368851926,2.270446933,4208.908183
8/1/2022 5:16,0.120849427,Clear,City Street,Bicycle,25.20306266,42.42953068,17.77862246,1.94365839,3040.482161
8/1/2022 5:32,0.707759921,Cloudy,City Street,Bus,18.06176199,58.09694996,2.033851945,9.671089995,864.4912935
8/1/2022 5:48,0.283089932,Clear,Highway,Bus,18.03396934,24.31720853,3.165809142,1.917380109,5624.93231
8/1/2022 6:00,0.811849256,Rainy,Residential,Bicycle,28.11673667,71.97628785,9.635735396,5.241661205,3998.240814
8/1/2022 6:28,0.668014025,Rainy,Residential,Bus,34.40313842,52.81695052,4.2379804,1.536081649,5145.141646
8/1/2022 6:56,0.73350566,Cloudy,Highway,Bus,24.69853567,49.08616,13.98289283,6.263850264,1104.403454
8/1/2022 7:00,0.213000412,Cloudy,Highway,Car,33.80141792,66.13686423,1.186574226,4.782191332,929.0310733
8/1/2022 7:22,0.496798879,Rainy,City Street,Car,16.57836887,40.17104542,19.16241982,1.337637771,1736.980808
8/1/2022 7:44,0.662814373,Clear,Residential,Bicycle,25.12269039,36.48459921,11.86512557,5.678516182,941.6141154
8/1/2022 8:00,0.659315934,Rainy,Residential,Car,16.36614661,54.72715223,2.582802243,8.464995856,1763.62897
8/1/2022 8:20,0.530700815,Rainy,Residential,Bus,26.34002904,65.69604561,19.4004967,2.02938639,2304.701296
8/1/2022 8:40,0.106324838,Clear,Highway,Bicycle,27.17312713,75.45425635,6.566695481,5.320492407,3768.264549
8/1/2022 9:00,0.101053841,Cloudy,Residential,Car,30.80551885,89.9749541,10.11375853,8.636496399,4375.050254
8/1/2022 9:11,0.465637843,Rainy,Highway,Car,29.58120519,60.49491969,14.58330601,0.715147077,5409.449817
8/1/2022 9:22,0.516536016,Rainy,Residential,Bus,28.71830736,47.72619851,5.663201206,7.067890323,6001.255271
